Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,HighRECost_LowNGPrice,2023$,2012,Sunday,p80,IL,PJM_West,usa,CT,2025
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2025-01-01 01:00:00,2025-01-01 00:00:00,8816.8,0.0,0.0,5.8,8822.7,8537.7,7205.1,0.0,779.4,0.0317,0.0404,battery,coal,0.0,0.0,0.0,7.4,17.4,0.16,0.0,8.0,8.0,0.0,0.0,0.0,7.6,18.0,0.17,0.0,8.2,8.2,289.9,28.3,4.09,13.7,980.4,0.15,291.9,42.9,334.8,1219.4,140.4,20.43,37.6,2655.4,0.6,1229.2,116.9,1346.1,17.28,0.0,0.0,17.28,18.01,0.0,0.0,18.01,0.0,0.0,0.0,9602.1,1617.6,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,1617.6,0.0
2025-01-01 02:00:00,2025-01-01 01:00:00,8518.9,0.0,0.0,7.6,8526.6,8251.7,6967.9,0.0,1016.6,0.0314,0.039,phs,gas-cc,0.0,0.0,0.0,7.4,17.5,0.17,0.0,8.0,8.0,0.0,0.0,0.0,7.7,18.1,0.17,0.0,8.3,8.3,80.6,1.8,0.21,9.5,696.8,0.05,80.7,30.2,110.9,377.1,7.1,0.71,44.5,3523.2,0.16,377.5,149.6,527.1,16.93,0.0,0.0,16.93,17.62,0.0,0.0,17.62,0.0,0.0,0.0,9543.2,1558.7,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,1558.7,0.0
2025-01-01 03:00:00,2025-01-01 02:00:00,8270.5,4.9,0.0,9.5,8284.9,8012.8,6704.2,0.0,1280.3,0.0312,0.0379,coal,coal,0.0,0.0,0.0,7.4,17.5,0.17,0.0,8.0,8.0,0.0,0.0,0.0,7.7,18.1,0.17,0.0,8.2,8.2,85.5,1.9,0.23,10.0,741.5,0.05,85.6,32.1,117.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02,0.0,0.0,11.02,11.45,0.0,0.0,11.45,0.0,0.0,0.0,9565.2,1580.7,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,1580.7,0.0
2025-01-01 04:00:00,2025-01-01 03:00:00,8193.7,4.9,0.0,10.3,8208.8,7938.8,6613.3,0.0,1371.2,0.0311,0.0375,coal,coal,0.0,0.0,0.0,7.4,17.5,0.17,0.0,8.0,8.0,0.0,0.0,0.0,7.7,18.0,0.17,0.0,8.2,8.2,79.3,1.8,0.21,9.3,684.0,0.05,79.4,29.7,109.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02,0.0,0.0,11.02,11.44,0.0,0.0,11.44,0.0,0.0,0.0,9580.1,1595.6,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,1595.6,0.0
2025-01-01 05:00:00,2025-01-01 04:00:00,8226.3,4.9,0.0,10.3,8241.5,7970.2,6608.2,0.0,1376.3,0.0311,0.0377,wind-ons,wind-ons,0.0,0.0,0.0,7.4,17.4,0.16,0.0,7.9,7.9,0.0,0.0,0.0,7.6,18.0,0.17,0.0,8.2,8.2,154.6,9.8,1.38,12.2,898.2,0.08,155.3,38.9,194.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02,0.0,0.0,11.02,11.45,0.0,0.0,11.45,0.0,0.0,0.0,9617.8,1633.3,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,1633.3,0.0
2025-01-01 06:00:00,2025-01-01 05:00:00,8455.8,0.0,0.0,8.7,8464.5,8191.0,6823.8,0.0,1160.8,0.0313,0.0387,phs,gas-cc,0.0,0.0,0.0,7.4,17.4,0.16,0.0,7.9,7.9,0.0,0.0,0.0,7.6,18.0,0.17,0.0,8.2,8.2,35.8,1.0,0.14,4.2,270.2,0.03,35.9,12.2,48.1,377.0,7.1,0.71,44.5,3522.2,0.16,377.4,149.5,526.9,16.93,0.0,0.0,16.93,17.61,0.0,0.0,17.61,0.0,0.0,0.0,9625.2,1640.7,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,1640.7,0.0
2025-01-01 07:00:00,2025-01-01 06:00:00,8748.4,0.0,0.0,6.5,8755.0,8472.1,7113.2,0.0,871.3,0.0316,0.04,battery,coal,0.0,0.0,0.0,7.4,17.4,0.16,0.0,7.9,7.9,0.0,0.0,0.0,7.6,18.0,0.17,0.0,8.2,8.2,181.0,18.2,2.64,8.2,558.0,0.1,182.3,24.8,207.1,991.4,114.2,16.61,30.5,2158.8,0.49,999.3,95.0,1094.3,16.93,0.0,0.0,16.93,17.64,0.0,0.0,17.64,0.0,0.0,0.0,9626.3,1641.8,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,1641.8,0.0
2025-01-01 08:00:00,2025-01-01 07:00:00,8926.3,0.0,0.0,5.5,8931.8,8642.8,7255.4,0.0,729.1,0.0318,0.0409,battery,gas-cc,0.0,0.0,0.0,7.4,17.3,0.16,0.0,7.9,7.9,0.0,0.0,0.0,7.6,17.9,0.17,0.0,8.2,8.2,36.0,1.0,0.14,4.2,270.5,0.03,36.1,12.2,48.3,377.8,7.1,0.71,44.6,3530.1,0.16,378.2,149.9,528.1,17.28,0.0,0.0,17.28,18.02,0.0,0.0,18.02,0.0,0.0,0.0,9660.9,1676.4,0.0,39.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,33.8,1641.8,0.0
