Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p80,IL,PJM_West,usa,CT,2025
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2025-01-01 01:00:00,2025-01-01 00:00:00,8816.8,0.0,0.0,5.9,8822.7,8537.7,7205.1,0.0,781.8,0.0317,0.0404,battery,coal,0.0,0.0,0.0,7.4,17.4,0.16,0.0,8.0,8.0,0.0,0.0,0.0,7.6,18.2,0.17,0.0,8.2,8.2,335.1,33.3,4.82,15.3,1090.0,0.17,337.4,47.8,385.2,1219.4,140.4,20.43,37.6,2655.4,0.6,1229.2,116.9,1346.1,17.76,0.0,0.0,17.76,18.51,0.0,0.0,18.51,0.0,0.0,0.0,9604.5,1617.6,2.4,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,1617.6,0.0
2025-01-01 02:00:00,2025-01-01 01:00:00,8518.9,0.0,0.0,7.6,8526.6,8251.7,6967.9,0.0,1016.6,0.0314,0.039,battery,gas-cc,0.0,0.0,0.0,7.4,17.5,0.17,0.0,8.0,8.0,0.0,0.0,0.0,7.7,18.1,0.17,0.0,8.3,8.3,80.9,1.9,0.23,9.5,688.0,0.05,81.0,30.0,111.0,377.1,7.1,0.71,44.5,3523.2,0.16,377.5,149.6,527.1,17.41,0.0,0.0,17.41,18.12,0.0,0.0,18.12,0.0,0.0,0.0,9543.2,1558.7,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,1558.7,0.0
2025-01-01 03:00:00,2025-01-01 02:00:00,8270.5,4.9,0.0,9.6,8285.0,8012.8,6704.3,0.0,1280.2,0.0312,0.0379,wind-ons,wind-ons,0.0,0.0,0.0,7.4,17.5,0.17,0.0,8.0,8.0,0.0,0.0,0.0,7.7,18.1,0.17,0.0,8.2,8.2,152.6,3.1,0.34,18.0,1377.8,0.08,152.8,59.1,211.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02,0.0,0.0,11.02,11.45,0.0,0.0,11.45,0.0,0.0,0.0,9565.2,1580.7,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,1580.7,0.0
2025-01-01 04:00:00,2025-01-01 03:00:00,8193.7,4.9,0.0,10.3,8208.8,7938.8,6613.3,0.0,1371.2,0.0311,0.0375,wind-ons,wind-ons,0.0,0.0,0.0,7.4,17.5,0.17,0.0,8.0,8.0,0.0,0.0,0.0,7.7,18.0,0.17,0.0,8.2,8.2,98.1,2.2,0.26,11.5,853.1,0.05,98.3,36.9,135.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02,0.0,0.0,11.02,11.44,0.0,0.0,11.44,0.0,0.0,0.0,9580.1,1595.6,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,1595.6,0.0
2025-01-01 05:00:00,2025-01-01 04:00:00,8226.3,4.9,0.0,10.3,8241.5,7970.2,6608.2,0.0,1376.3,0.0311,0.0377,wind-ons,wind-ons,0.0,0.0,0.0,7.4,17.4,0.16,0.0,7.9,7.9,0.0,0.0,0.0,7.6,18.0,0.17,0.0,8.2,8.2,155.1,3.2,0.34,18.3,1402.0,0.08,155.3,60.1,215.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02,0.0,0.0,11.02,11.45,0.0,0.0,11.45,0.0,0.0,0.0,9617.8,1633.3,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,1633.3,0.0
2025-01-01 06:00:00,2025-01-01 05:00:00,8455.8,0.0,0.0,8.7,8464.5,8191.0,6823.8,0.0,1160.8,0.0313,0.0387,phs,gas-cc,0.0,0.0,0.0,7.4,17.4,0.16,0.0,7.9,7.9,0.0,0.0,0.0,7.6,18.0,0.17,0.0,8.2,8.2,199.0,3.9,0.42,23.5,1821.4,0.09,199.2,77.8,277.0,377.0,7.1,0.71,44.5,3522.2,0.16,377.4,149.5,526.9,17.41,0.0,0.0,17.41,18.11,0.0,0.0,18.11,0.0,0.0,0.0,9625.2,1640.7,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,1640.7,0.0
2025-01-01 07:00:00,2025-01-01 06:00:00,8748.4,0.0,0.0,6.5,8755.0,8472.1,7113.2,0.0,871.3,0.0316,0.04,phs,gas-cc,0.0,0.0,0.0,7.4,17.4,0.16,0.0,7.9,7.9,0.0,0.0,0.0,7.6,18.0,0.17,0.0,8.2,8.2,234.6,17.8,2.52,15.8,1165.6,0.12,235.8,50.5,286.4,377.5,7.1,0.71,44.6,3527.1,0.16,377.9,149.7,527.7,17.41,0.0,0.0,17.41,18.14,0.0,0.0,18.14,0.0,0.0,0.0,9626.3,1641.8,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,0.0,1641.8,0.0
2025-01-01 08:00:00,2025-01-01 07:00:00,8926.3,0.0,0.0,5.5,8931.8,8642.8,7257.8,0.0,726.7,0.0318,0.0409,battery,coal,0.0,0.0,0.0,7.4,17.3,0.16,0.0,7.9,7.9,0.0,0.0,0.0,7.6,17.9,0.17,0.0,8.2,8.2,292.7,30.3,4.39,12.3,858.6,0.15,294.8,37.9,332.8,1019.7,117.4,17.08,31.4,2220.3,0.5,1027.8,97.7,1125.5,17.76,0.0,0.0,17.76,18.52,0.0,0.0,18.52,0.0,0.0,0.0,9658.5,1674.0,0.0,39.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,13.5,7931.2,0.0,0.0,31.4,1641.8,0.0
